id,data_inversa,uf,br,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,uso_solo,tipo_envolvido,idade,sexo
83298302,01/01/2015,RN,406,CEARA-MIRIM,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Pedestre,41.0,Masculino
83298302,01/01/2015,RN,406,CEARA-MIRIM,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Inválido
83298358,01/01/2015,RN,101,SAO JOSE DE MIPIBU,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,25.0,Masculino
83298358,01/01/2015,RN,101,SAO JOSE DE MIPIBU,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,44.0,Masculino
83298395,01/01/2015,RN,101,EXTREMOZ,Ingestão de álcool,Colisão com objeto fixo,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,38.0,Masculino
83298398,01/01/2015,RN,101,NATAL,Dormindo,Tombamento,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Condutor,29.0,Masculino
83298478,01/01/2015,RN,101,CANGUARETAMA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Anoitecer,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Masculino
83298478,01/01/2015,RN,101,CANGUARETAMA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Anoitecer,Ceu Claro,Simples ,Urbano,Passageiro,-1.0,Masculino
83298478,01/01/2015,RN,101,CANGUARETAMA,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Anoitecer,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Inválido
83298529,01/01/2015,RN,304,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Dupla   ,Urbano,Pedestre,36.0,Feminino
83298529,01/01/2015,RN,304,PARNAMIRIM,Ingestão de álcool,Atropelamento de pessoa,Com Vítimas Fatais ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,-1.0,Inválido
83298597,02/01/2015,RN,226,CAMPO REDONDO,Animais na Pista,Atropelamento de animal,Sem Vítimas        ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,44.0,Masculino
83298803,02/01/2015,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,52.0,Masculino
83298803,02/01/2015,RN,101,NATAL,Falta de atenção,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,-1.0,Masculino
83298892,02/01/2015,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena noite,Vento,Dupla   ,Urbano,Condutor,48.0,Masculino
83298892,02/01/2015,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena noite,Vento,Dupla   ,Urbano,Condutor,29.0,Masculino
83298946,02/01/2015,RN,304,ITAJA,Outras,Saída de Pista,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Rural ,Condutor,35.0,Masculino
83298958,02/01/2015,RN,304,ASSU,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Urbano,Condutor,44.0,Masculino
83298958,02/01/2015,RN,304,ASSU,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Urbano,Condutor,54.0,Masculino
83298958,02/01/2015,RN,304,ASSU,Outras,Colisão traseira,Com Vítimas Feridas,Pleno dia,Nublado,Simples ,Urbano,Passageiro,-1.0,Feminino
83299109,03/01/2015,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,33.0,Masculino
83299109,03/01/2015,RN,101,NATAL,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Ceu Claro,Dupla   ,Urbano,Condutor,19.0,Feminino
83299232,03/01/2015,RN,304,ASSU,Outras,Colisão Transversal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,28.0,Masculino
83299232,03/01/2015,RN,304,ASSU,Outras,Colisão Transversal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Passageiro,44.0,Feminino
83299232,03/01/2015,RN,304,ASSU,Outras,Colisão Transversal,Com Vítimas Fatais ,Pleno dia,Ceu Claro,Simples ,Rural ,Condutor,-1.0,Inválido
83299244,03/01/2015,RN,304,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Condutor,-1.0,Masculino
83299244,03/01/2015,RN,304,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Condutor,17.0,Masculino
83299244,03/01/2015,RN,304,MACAIBA,Falta de atenção,Colisão Transversal,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Urbano,Passageiro,17.0,Feminino
83299285,03/01/2015,RN,304,MACAIBA,Outras,Tombamento,Com Vítimas Feridas,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,57.0,Masculino
83299341,03/01/2015,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,52.0,Masculino
83299341,03/01/2015,RN,101,NATAL,Falta de atenção,Colisão lateral,Sem Vítimas        ,Pleno dia,Ceu Claro,Múltipla,Urbano,Condutor,67.0,Masculino
83299352,03/01/2015,RN,101,SAO JOSE DE MIPIBU,Outras,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,25.0,Masculino
83299352,03/01/2015,RN,101,SAO JOSE DE MIPIBU,Outras,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Dupla   ,Urbano,Condutor,36.0,Masculino
83299725,04/01/2015,RN,101,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Rural ,Condutor,46.0,Masculino
83299725,04/01/2015,RN,101,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Rural ,Condutor,67.0,Masculino
83299726,04/01/2015,RN,406,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,31.0,Masculino
83299726,04/01/2015,RN,406,SAO GONCALO DO AMARANTE,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,25.0,Masculino
83299805,04/01/2015,RN,101,SAO GONCALO DO AMARANTE,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Condutor,50.0,Masculino
83299805,04/01/2015,RN,101,SAO GONCALO DO AMARANTE,Outras,Colisão lateral,Sem Vítimas        ,Pleno dia,Sol,Dupla   ,Urbano,Condutor,28.0,Masculino
83299821,04/01/2015,RN,304,MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,-1.0,Masculino
83299821,04/01/2015,RN,304,MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Passageiro,-1.0,Masculino
83299821,04/01/2015,RN,304,MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Passageiro,-1.0,Feminino
83299821,04/01/2015,RN,304,MACAIBA,Dormindo,Colisão traseira,Com Vítimas Feridas,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,-1.0,Masculino
83299878,05/01/2015,RN,304,FERNANDO PEDROZA,Falta de atenção,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,41.0,Masculino
83299878,05/01/2015,RN,304,FERNANDO PEDROZA,Falta de atenção,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,Condutor,26.0,Masculino
83299878,05/01/2015,RN,304,FERNANDO PEDROZA,Falta de atenção,Colisão lateral,Com Vítimas Fatais ,Plena noite,Ceu Claro,Simples ,Rural ,Passageiro,25.0,Feminino
83300060,04/01/2015,RN,110,MOSSORO,Não guardar distância de segurança,Colisão traseira,Sem Vítimas        ,Pleno dia,Sol,Simples ,Urbano,Condutor,34.0,Masculino
